Reason_1,Reason_2,Reason_3,Reason_4,Month Value,Day of the Week,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
0,0,1,0,4,26,289,36,33,326.452,30,0,2,1,8
1,0,0,0,4,27,155,12,34,326.452,25,0,2,0,24
0,0,1,0,4,27,378,49,36,326.452,21,0,2,4,8
1,0,0,0,4,28,289,36,33,326.452,30,0,2,1,16
1,0,0,0,4,8,235,11,37,326.452,29,1,1,1,3
0,0,0,0,4,4,235,29,48,326.452,33,0,1,5,0
1,0,0,0,5,4,289,36,33,378.884,30,0,2,1,8
0,0,0,1,5,5,155,12,34,378.884,25,0,2,0,2
0,0,0,1,5,2,155,12,34,378.884,25,0,2,0,1
0,0,1,0,5,3,179,51,38,378.884,31,0,0,0,8
0,0,1,0,5,3,225,26,28,378.884,24,0,1,2,8
1,0,0,0,5,11,184,42,27,378.884,21,0,0,0,4
0,0,0,1,5,9,155,12,34,378.884,25,0,2,0,2
1,0,0,0,5,10,179,51,38,378.884,31,0,0,0,1
1,0,0,0,5,4,289,36,33,378.884,30,0,2,1,24
0,0,0,0,5,11,279,5,39,378.884,24,0,2,0,0
0,0,0,0,5,18,330,16,28,378.884,25,1,0,0,0
0,0,0,0,5,25,378,49,36,378.884,21,0,2,4,0
0,0,0,0,5,25,388,15,50,378.884,24,0,0,0,0
1,0,0,0,5,24,179,51,38,378.884,31,0,0,0,1
1,0,0,0,5,11,118,13,50,378.884,31,0,1,0,24
0,0,0,1,5,27,361,52,28,378.884,27,0,1,4,8
0,0,1,0,6,6,246,25,41,377.55,23,0,0,0,8
0,0,0,1,6,13,361,52,28,377.55,27,0,1,4,8
1,0,0,0,6,14,246,25,41,377.55,23,0,0,0,24
0,0,0,1,6,16,291,31,40,377.55,25,0,1,1,4
1,0,0,0,6,17,246,25,41,377.55,23,0,0,0,8
1,0,0,0,6,13,179,51,38,377.55,31,0,0,0,8
0,0,0,1,6,20,155,12,34,377.55,25,0,2,0,4
1,0,0,0,6,27,246,25,41,377.55,23,0,0,0,8
1,0,0,0,6,29,118,13,50,377.55,31,0,1,0,8
1,0,0,0,6,3,235,11,37,377.55,29,1,1,1,16
0,0,0,1,6,7,118,13,50,377.55,31,0,1,0,1
1,0,0,0,6,8,118,13,50,377.55,31,0,1,0,80
0,0,0,1,6,9,378,49,36,377.55,21,0,2,4,8
1,0,0,0,6,10,179,51,38,377.55,31,0,0,0,2
0,0,0,1,6,20,289,48,49,377.55,36,0,0,2,2
0,0,0,1,6,30,225,26,28,377.55,24,0,1,2,2
0,0,1,0,7,5,155,12,34,275.312,25,0,2,0,16
1,0,0,0,7,6,118,13,50,275.312,31,0,1,0,8
1,0,0,0,7,8,118,10,37,275.312,28,0,0,0,8
0,0,0,1,7,8,118,10,37,275.312,28,0,0,0,4
0,0,0,1,7,12,330,16,28,275.312,25,1,0,0,8
0,0,1,0,7,14,179,26,30,275.312,19,1,0,0,8
0,0,0,1,7,15,155,12,34,275.312,25,0,2,0,2
1,0,0,0,7,18,330,16,28,275.312,25,1,0,0,8
1,0,0,0,7,19,330,16,28,275.312,25,1,0,0,8
0,0,0,1,7,18,157,27,29,275.312,22,0,0,0,3
0,0,0,1,7,19,361,52,28,275.312,27,0,1,4,8
0,0,0,1,7,20,289,36,33,275.312,30,0,2,1,8
0,0,0,1,7,21,179,51,38,275.312,31,0,0,0,8
0,0,1,0,7,11,289,36,33,275.312,30,0,2,1,32
0,0,1,0,7,14,289,36,33,275.312,30,0,2,1,8
0,0,0,0,7,21,260,50,36,275.312,23,0,4,0,0
0,0,1,0,8,4,289,36,33,265.615,30,0,2,1,8
0,0,1,0,8,11,157,27,29,265.615,22,0,0,0,3
0,0,0,1,8,7,289,36,33,265.615,30,0,2,1,1
0,0,1,0,8,8,228,14,58,265.615,22,0,2,1,8
1,0,0,0,8,10,300,26,43,265.615,25,0,2,1,1
1,0,0,0,8,10,300,26,43,265.615,25,0,2,1,2
0,0,0,1,8,11,260,50,36,265.615,23,0,4,0,4
0,0,0,1,8,8,289,36,33,265.615,30,0,2,1,4
0,0,0,1,8,9,248,25,47,265.615,32,0,2,1,1
1,0,0,0,8,10,268,11,33,265.615,25,1,0,0,8
0,0,0,1,8,10,179,26,30,265.615,19,1,0,0,1
1,0,0,0,8,10,118,13,50,265.615,31,0,1,0,3
0,0,0,1,8,14,248,25,47,265.615,32,0,2,1,2
0,0,0,1,8,15,235,11,37,265.615,29,1,1,1,1
0,0,0,1,8,17,118,13,50,265.615,31,0,1,0,1
0,0,1,0,8,24,235,11,37,265.615,29,1,1,1,8
1,0,0,0,8,8,361,52,28,265.615,27,0,1,4,8
1,0,0,0,8,30,184,42,27,265.615,21,0,0,0,8
1,0,0,0,9,5,179,51,38,294.217,31,0,0,0,8
0,0,0,1,9,9,179,51,38,294.217,31,0,0,0,3
0,0,1,0,9,7,289,36,33,294.217,30,0,2,1,24
0,0,0,0,9,8,235,20,43,294.217,38,0,1,0,0
1,0,0,0,9,12,246,25,41,294.217,23,0,0,0,16
0,0,0,1,9,13,291,31,40,294.217,25,0,1,1,3
0,0,0,0,9,13,231,35,39,294.217,35,0,2,2,0
0,0,0,0,9,13,291,50,32,294.217,23,0,0,0,0
1,0,0,0,9,14,179,51,38,294.217,31,0,0,0,8
1,0,0,0,9,14,246,25,41,294.217,23,0,0,0,32
0,0,0,1,9,15,179,51,38,294.217,31,0,0,0,1
0,0,0,1,9,16,291,31,40,294.217,25,0,1,1,4
0,0,0,1,9,16,260,50,36,294.217,23,0,4,0,4
0,0,0,1,9,14,235,20,43,294.217,38,0,1,0,8
0,0,0,1,9,15,118,13,50,294.217,31,0,1,0,1
0,0,0,0,9,15,235,20,43,294.217,38,0,1,0,0
0,0,0,1,9,16,291,31,40,294.217,25,0,1,1,3
1,0,0,0,9,26,291,31,40,294.217,25,0,1,1,40
1,0,0,0,9,26,179,51,38,294.217,31,0,0,0,8
0,0,0,1,10,5,289,36,33,265.017,30,0,2,1,8
0,0,0,1,10,5,235,11,37,265.017,29,1,1,1,4
0,0,0,1,10,5,289,36,33,265.017,30,0,2,1,8
0,0,0,1,10,6,289,36,33,265.017,30,0,2,1,8
0,0,0,0,10,6,118,13,50,265.017,31,0,1,0,0
0,0,0,0,10,6,248,25,47,265.017,32,0,2,1,0
1,0,0,0,10,12,179,26,30,265.017,19,1,0,0,8
1,0,0,0,10,12,118,10,37,265.017,28,0,0,0,3
0,0,0,1,10,12,369,17,31,265.017,25,0,3,0,8
0,0,0,1,10,14,179,51,38,265.017,31,0,0,0,1
1,0,0,0,10,14,179,26,30,265.017,19,1,0,0,64
0,0,0,0,10,14,235,20,43,265.017,38,0,1,0,0
0,0,1,0,10,15,289,36,33,265.017,30,0,2,1,16
0,0,0,1,10,16,260,50,36,265.017,23,0,4,0,3
0,0,0,0,10,16,235,20,43,265.017,38,0,1,0,0
0,0,0,1,10,19,235,20,43,265.017,38,0,1,0,2
0,0,0,1,10,19,235,20,43,265.017,38,0,1,0,2
0,0,0,1,10,20,118,13,50,265.017,31,0,1,0,1
0,0,0,1,10,20,291,31,40,265.017,25,0,1,1,4
0,0,0,1,10,22,179,26,30,265.017,19,1,0,0,16
0,0,0,1,10,22,118,13,50,265.017,31,0,1,0,1
1,0,0,0,10,26,361,52,28,265.017,27,0,1,4,8
0,0,0,0,10,27,260,50,36,265.017,23,0,4,0,0
0,0,0,0,10,27,291,31,40,265.017,25,0,1,1,0
0,0,0,0,10,27,157,27,29,265.017,22,0,0,0,0
1,0,0,0,10,28,179,26,30,265.017,19,1,0,0,5
1,0,0,0,10,28,179,26,30,265.017,19,1,0,0,5
0,0,0,1,10,29,118,13,50,265.017,31,0,1,0,1
1,0,0,0,11,7,118,10,37,284.031,28,0,0,0,8
0,0,0,1,11,7,248,25,47,284.031,32,0,2,1,2
1,0,0,0,11,8,179,51,38,284.031,31,0,0,0,8
0,0,0,1,11,11,260,50,36,284.031,23,0,4,0,3
0,0,0,1,11,14,291,31,40,284.031,25,0,1,1,1
1,0,0,0,11,14,378,49,36,284.031,21,0,2,4,8
1,0,0,0,11,14,155,12,34,284.031,25,0,2,0,120
0,0,0,1,11,14,235,20,43,284.031,38,0,1,0,8
0,0,0,0,11,15,330,16,28,284.031,25,1,0,0,0
0,0,1,0,11,16,235,11,37,284.031,29,1,1,1,1
1,0,0,0,11,16,118,10,37,284.031,28,0,0,0,3
0,0,0,1,11,17,235,11,37,284.031,29,1,1,1,2
0,0,0,1,11,17,179,51,38,284.031,31,0,0,0,3
1,0,0,0,11,18,246,25,41,284.031,23,0,0,0,8
1,0,0,0,11,18,291,31,40,284.031,25,0,1,1,4
1,0,0,0,11,21,246,25,41,284.031,23,0,0,0,8
0,0,0,1,11,22,179,51,38,284.031,31,0,0,0,1
1,0,0,0,11,23,260,50,36,284.031,23,0,4,0,8
0,1,0,0,11,25,260,50,36,284.031,23,0,4,0,8
0,0,0,0,11,25,378,49,36,284.031,21,0,2,4,0
0,0,0,0,11,29,279,5,39,284.031,24,0,2,0,0
0,0,0,1,11,24,179,51,38,284.031,31,0,0,0,1
1,0,0,0,12,5,225,26,28,236.62900000000002,24,0,1,2,3
0,0,0,1,12,5,179,51,38,236.62900000000002,31,0,0,0,2
0,0,0,1,12,5,179,51,38,236.62900000000002,31,0,0,0,1
0,0,0,1,12,5,235,11,37,236.62900000000002,29,1,1,1,3
0,0,0,1,12,6,118,13,50,236.62900000000002,31,0,1,0,1
0,0,0,1,12,9,260,50,36,236.62900000000002,23,0,4,0,4
1,0,0,0,12,15,246,25,41,236.62900000000002,23,0,0,0,8
0,0,0,1,12,15,179,51,38,236.62900000000002,31,0,0,0,1
0,0,0,1,12,16,179,51,38,236.62900000000002,31,0,0,0,1
0,0,0,1,12,20,179,26,30,236.62900000000002,19,1,0,0,1
0,0,0,1,12,20,118,10,37,236.62900000000002,28,0,0,0,8
0,0,0,1,12,22,235,11,37,236.62900000000002,29,1,1,1,2
0,0,0,1,12,23,179,51,38,236.62900000000002,31,0,0,0,1
1,0,0,0,12,20,235,20,43,236.62900000000002,38,0,1,0,8
1,0,0,0,12,20,235,11,37,236.62900000000002,29,1,1,1,4
0,0,0,1,12,21,260,50,36,236.62900000000002,23,0,4,0,8
0,0,0,1,12,19,157,27,29,236.62900000000002,22,0,0,0,2
0,0,0,1,12,19,179,51,38,236.62900000000002,31,0,0,0,3
0,0,1,0,12,19,289,36,33,236.62900000000002,30,0,2,1,8
0,0,0,1,1,4,225,26,28,330.061,24,0,1,2,5
0,0,1,0,1,9,118,10,37,330.061,28,0,0,0,32
0,0,0,1,1,9,155,12,34,330.061,25,0,2,0,2
1,0,0,0,1,3,235,11,37,330.061,29,1,1,1,1
0,0,0,1,1,3,155,12,34,330.061,25,0,2,0,4
0,0,0,1,1,9,289,36,33,330.061,30,0,2,1,8
1,0,0,0,1,11,291,31,40,330.061,25,0,1,1,8
0,0,0,1,1,16,235,20,43,330.061,38,0,1,0,8
0,0,0,1,1,16,118,13,50,330.061,31,0,1,0,4
0,0,0,1,1,25,179,51,38,330.061,31,0,0,0,1
0,0,0,1,1,27,179,51,38,330.061,31,0,0,0,1
0,0,0,1,2,7,118,10,37,251.81799999999998,28,0,0,0,2
0,0,0,1,2,1,179,51,38,251.81799999999998,31,0,0,0,3
1,0,0,0,2,1,225,26,28,251.81799999999998,24,0,1,2,1
0,0,0,1,2,3,289,36,33,251.81799999999998,30,0,2,1,3
0,0,0,1,2,10,260,50,36,251.81799999999998,23,0,4,0,3
0,0,0,1,2,17,179,51,38,251.81799999999998,31,0,0,0,3
0,0,0,1,2,13,179,51,38,251.81799999999998,31,0,0,0,2
0,0,0,1,2,15,179,51,38,251.81799999999998,31,0,0,0,3
1,0,0,0,2,16,179,51,38,251.81799999999998,31,0,0,0,8
0,0,0,1,2,16,246,25,41,251.81799999999998,23,0,0,0,8
0,0,0,1,2,17,179,51,38,251.81799999999998,31,0,0,0,3
0,0,0,1,2,13,189,29,33,251.81799999999998,25,0,2,2,8
0,0,0,1,2,13,179,51,38,251.81799999999998,31,0,0,0,3
0,0,0,1,2,21,246,25,41,251.81799999999998,23,0,0,0,2
0,0,0,1,2,21,291,31,40,251.81799999999998,25,0,1,1,2
1,0,0,0,2,22,157,27,29,251.81799999999998,22,0,0,0,16
0,0,0,1,2,22,179,51,38,251.81799999999998,31,0,0,0,3
0,0,0,1,2,24,179,51,38,251.81799999999998,31,0,0,0,3
1,0,0,0,2,24,246,25,41,251.81799999999998,23,0,0,0,24
0,0,0,1,2,22,179,51,38,251.81799999999998,31,0,0,0,3
0,0,0,1,2,24,179,51,38,251.81799999999998,31,0,0,0,3
0,0,1,0,3,7,118,10,37,244.387,28,0,0,0,8
0,0,1,0,3,8,246,25,41,244.387,23,0,0,0,16
0,0,0,1,3,10,246,25,41,244.387,23,0,0,0,2
0,0,0,1,3,10,260,50,36,244.387,23,0,4,0,4
0,0,0,1,3,13,179,51,38,244.387,31,0,0,0,2
0,0,0,1,3,13,235,11,37,244.387,29,1,1,1,8
0,0,0,1,3,14,179,22,40,244.387,22,1,2,0,8
0,0,0,1,3,14,378,49,36,244.387,21,0,2,4,8
0,0,0,1,3,20,179,51,38,244.387,31,0,0,0,16
0,0,0,1,3,22,361,52,28,244.387,27,0,1,4,8
0,0,0,0,3,22,369,17,31,244.387,25,0,3,0,0
0,0,1,0,3,23,235,11,37,244.387,29,1,1,1,8
0,0,0,1,3,24,118,13,50,244.387,31,0,1,0,2
1,0,0,0,3,28,118,13,50,244.387,31,0,1,0,3
1,0,0,0,3,29,118,13,50,244.387,31,0,1,0,8
0,0,0,0,3,30,235,11,37,244.387,29,1,1,1,0
0,0,0,0,3,30,246,25,41,244.387,23,0,0,0,0
0,0,0,0,3,30,118,13,50,244.387,31,0,1,0,0
0,0,0,1,3,31,179,51,38,244.387,31,0,0,0,8
0,0,0,1,3,31,289,36,33,244.387,30,0,2,1,8
0,0,1,0,3,27,260,50,36,244.387,23,0,4,0,8
0,0,0,1,3,28,246,25,41,244.387,23,0,0,0,2
0,0,0,1,4,5,179,51,38,239.40900000000002,31,0,0,0,4
0,0,0,1,4,7,260,50,36,239.40900000000002,23,0,4,0,3
0,0,0,1,4,7,330,16,28,239.40900000000002,25,1,0,0,4
0,0,0,1,4,10,369,17,31,239.40900000000002,25,0,3,0,4
0,0,0,1,4,10,248,25,47,239.40900000000002,32,0,2,1,4
0,0,0,1,4,12,330,16,28,239.40900000000002,25,1,0,0,8
0,0,0,1,4,12,179,51,38,239.40900000000002,31,0,0,0,8
0,0,0,1,4,17,118,13,50,239.40900000000002,31,0,1,0,1
1,0,0,0,4,19,118,13,50,239.40900000000002,31,0,1,0,120
